day,month,year,abundance
18,1,2006,86
19,1,2006,3337
20,1,2006,3442
21,1,2006,5468
22,1,2006,19945
23,1,2006,21220
24,1,2006,7012
25,1,2006,7920
26,1,2006,6914
27,1,2006,9358
28,1,2006,16240
29,1,2006,15033
30,1,2006,25104
31,1,2006,21158
32,2,2006,18606
33,2,2006,12805
34,2,2006,15037
35,2,2006,21647
36,2,2006,17476
37,2,2006,23905
38,2,2006,23933
39,2,2006,16840
40,2,2006,23835
41,2,2006,25997
42,2,2006,40875
43,2,2006,30450
44,2,2006,24925
45,2,2006,23171
46,2,2006,31119
47,2,2006,56231
48,2,2006,35806
49,2,2006,40808
50,2,2006,36828
51,2,2006,39974
52,2,2006,80353
53,2,2006,50807
54,2,2006,82188
55,2,2006,96580
56,2,2006,82513
57,2,2006,76616
58,2,2006,150982
59,2,2006,223009
60,3,2006,322685
61,3,2006,259752
62,3,2006,281609
63,3,2006,76108
64,3,2006,70229
65,3,2006,70114
66,3,2006,111085
67,3,2006,75352
68,3,2006,73483
69,3,2006,88969
70,3,2006,45304
71,3,2006,81615
72,3,2006,50470
73,3,2006,27778
74,3,2006,29260
75,3,2006,36632
76,3,2006,37434
77,3,2006,50939
78,3,2006,33330
79,3,2006,41207
80,3,2006,69249
81,3,2006,29989
82,3,2006,68349
83,3,2006,45616
84,3,2006,107760
85,3,2006,106929
86,3,2006,170616
87,3,2006,73543
88,3,2006,55284
89,3,2006,33897
90,3,2006,43008
91,4,2006,80803
92,4,2006,86535
93,4,2006,48272
94,4,2006,23986
95,4,2006,27871
96,4,2006,25040
97,4,2006,44263
98,4,2006,26313
99,4,2006,38967
100,4,2006,42505
101,4,2006,54968
102,4,2006,27986
103,4,2006,37062
104,4,2006,80580
105,4,2006,105074
106,4,2006,51352
107,4,2006,37889
108,4,2006,13977
109,4,2006,6768
110,4,2006,4229
111,4,2006,7674
112,4,2006,12584
113,4,2006,7237
114,4,2006,2912
115,4,2006,2837
116,4,2006,9738
117,4,2006,5768
118,4,2006,9718
119,4,2006,9889
120,4,2006,24419
121,5,2006,14854
122,5,2006,11902
123,5,2006,9459
124,5,2006,7421
125,5,2006,4126
126,5,2006,7400
127,5,2006,13055
128,5,2006,11385
129,5,2006,4337
130,5,2006,3064
131,5,2006,1319
132,5,2006,1991
133,5,2006,3712
134,5,2006,2549
135,5,2006,1634
136,5,2006,30053
137,5,2006,33980
138,5,2006,33980
139,5,2006,33980
140,5,2006,33980
141,5,2006,35472
142,5,2006,37678
143,5,2006,40330
144,5,2006,48635
145,5,2006,62087
146,5,2006,61460
147,5,2006,58963
148,5,2006,49677
149,5,2006,47741
150,5,2006,31589
151,5,2006,43339
152,6,2006,32418
153,6,2006,38240
154,6,2006,32826
155,6,2006,37384
156,6,2006,52216
157,6,2006,31802
158,6,2006,46327
159,6,2006,34413
160,6,2006,23124
161,6,2006,22673
162,6,2006,25999
163,6,2006,28891
164,6,2006,32096
165,6,2006,30291
166,6,2006,26033
167,6,2006,22865
168,6,2006,23980
169,6,2006,21618
170,6,2006,18684
171,6,2006,13777
172,6,2006,10257
173,6,2006,9355
174,6,2006,7273
175,6,2006,6515
176,6,2006,7094
177,6,2006,12098
178,6,2006,11450
179,6,2006,7576
180,6,2006,14921
181,6,2006,8114
182,7,2006,6855
183,7,2006,4228
184,7,2006,6329
185,7,2006,5510
186,7,2006,6168
187,7,2006,8106
188,7,2006,5911
189,7,2006,4331
190,7,2006,4128
191,7,2006,3338
192,7,2006,4434
193,7,2006,3436
194,7,2006,7149
195,7,2006,4497
196,7,2006,8081
197,7,2006,4506
198,7,2006,1275
199,7,2006,779
200,7,2006,1582
201,7,2006,2095
202,7,2006,2936
203,7,2006,5695
204,7,2006,2936
205,7,2006,4486
206,7,2006,8069
207,7,2006,3029
208,7,2006,2402
209,7,2006,1914
210,7,2006,2682
211,7,2006,1912
212,7,2006,614
